SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO_TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
PP Guest House,24:43:e2:92:61:28,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",36:18.2,18:11.2,Infrastructure,Unknown,88,-50,PP Guest House,24:43:e2:92:61:28,-69,2447,102.1332880801224,19.88237545886046
Inthasack counter,b8:d6:f6:35:52:d8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,36:18.2,18:11.2,Infrastructure,Unknown,82,-60,Inthasack counter,b8:d6:f6:35:52:d8,-56,5745,102.1332880801224,19.88237545886046
Inthasack counter,b8:d6:f6:35:52:d4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,8,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,36:18.2,18:11.2,Infrastructure,Unknown,85,-55,Inthasack counter,b8:d6:f6:35:52:d4,-71,2462,102.1332880801224,19.88237545886046
inthe saek1,16:4d:67:54:be:44,Unknown,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",36:18.2,18:11.2,Infrastructure,Unknown,86,-53,inthe saek1,16:4d:67:54:be:44,-72,2412,102.1333168548638,19.88225074890449
intha sack1,14:4d:67:54:be:44,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",36:18.2,18:11.2,Infrastructure,Unknown,86,-54,intha sack1,14:4d:67:54:be:44,-76,2412,102.1333168548638,19.88225074890449
inthasack 2,14:4d:67:67:ff:c8,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",36:18.2,18:11.2,Infrastructure,Unknown,78,-66,inthasack 2,14:4d:67:67:ff:c8,-86,2437,102.13364917952234,19.88274250616007
PP Guest House,24:43:e2:91:a6:d8,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",38:10.0,18:11.2,Infrastructure,Unknown,80,-64,PP Guest House,24:43:e2:91:a6:d8,-74,2447,102.13316827884778,19.88239531197009
PP Guest House,24:43:e2:92:61:29,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,48,0,0,"6,9,12,18,24,36,48,54",,38:17.1,18:11.2,Infrastructure,Unknown,75,-67,PP Guest House,24:43:e2:92:61:29,-74,5240,102.1332880801224,19.88237545886046
MaLa,04:e7:95:3b:fa:4c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,38:26.2,18:11.2,Infrastructure,Unknown,67,-70,MaLa,04:e7:95:3b:fa:4c,-77,2422,102.1333969963513,19.88253299619961
yang9999,e8:f6:54:bd:51:a0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,4,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,38:29.2,18:11.2,Infrastructure,Unknown,83,-59,yang9999,e8:f6:54:bd:51:a0,-77,2427,102.13347675454548,19.882518061468183
mls hotel1,ca:cd:55:ce:ab:a4,Unknown,0,WPA2-Personal,CCMP,802.11ax,52,0,0,"6,9,12,18,24,36,48,54",,38:32.2,18:11.2,Infrastructure,Unknown,78,-66,mls hotel1,ca:cd:55:ce:ab:a4,-78,5260,102.1333969963513,19.88253299619961
mls hotel,ca:cd:55:8e:ab:a4,Unknown,0,WPA2-Personal,CCMP,802.11ax,52,0,0,"6,9,12,18,24,36,48,54",,38:32.2,18:11.2,Infrastructure,Unknown,78,-66,mls hotel,ca:cd:55:8e:ab:a4,-79,5260,102.1334283577903,19.88253353249054
MaLa,04:e7:95:3b:fa:50,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,38:38.4,18:11.2,Infrastructure,Unknown,70,-69,MaLa,04:e7:95:3b:fa:50,-80,5745,102.1334283577903,19.88253353249054
mls hotel,c8:cd:55:4e:ab:a4,Unknown,0,WPA2-Personal,CCMP,802.11ax,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",38:38.4,18:11.2,Infrastructure,Unknown,81,-63,mls hotel,c8:cd:55:4e:ab:a4,-80,2462,102.13364917952234,19.88274250616007
SKY-IPC-4697,16:c9:cf:9e:4b:be,Unknown,0,Open,,802.11g,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",38:38.4,18:11.2,Infrastructure,Unknown,99,-8,SKY-IPC-4697,16:c9:cf:9e:4b:be,-70,2437,102.1334283577903,19.88253353249054
AY,cc:29:bd:68:ad:66,zte corporation,0,WPA2-Personal,CCMP,802.11n,9,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",38:40.5,18:11.2,Infrastructure,Unknown,75,-67,AY,cc:29:bd:68:ad:66,-80,2452,102.13347675454548,19.882518061468183
CactusMano LPB,24:43:e2:3f:cb:87,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",38:45.5,18:11.2,Infrastructure,Unknown,89,-48,CactusMano LPB,24:43:e2:3f:cb:87,-66,2457,102.13364917952234,19.88274250616007
dayu hotel,30:37:b3:bb:bb:14,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,38:48.6,18:11.2,Infrastructure,Unknown,43,-78,dayu hotel,30:37:b3:bb:bb:14,-88,2422,102.13364917952234,19.88274250616007
CLB_S50_0595,70:3a:2d:16:ad:94,"Shenzhen V-Link Technology CO., LTD.",0,Open,,802.11ax,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",38:48.6,18:11.2,Infrastructure,Unknown,60,-73,CLB_S50_0595,70:3a:2d:16:ad:94,-84,2437,102.13346002709818,19.882507975504858
Mano Arlai,14:46:58:e7:74:64,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,9,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,39:00.9,41:56.0,Infrastructure,Unknown,85,-55,Mano Arlai,14:46:58:e7:74:64,-71,2452,102.13398563977512,19.88335638526374
Master cut free wifi M,98:1a:35:ca:a9:40,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,39:00.9,17:00.8,Infrastructure,Unknown,70,-69,Master cut free wifi M,98:1a:35:ca:a9:40,-77,2462,102.13398563977512,19.88335638526374
