SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO_TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
Souk ,98:1a:35:ca:9f:f8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,31:45.1,40:47.1,Infrastructure,Unknown,65,-71,Souk ,98:1a:35:ca:9f:f8,-77,5745,102.5008814689603,18.157769792371997
PhoneKeo,64:2c:ac:d3:a3:48,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,31:49.1,40:53.3,Infrastructure,Unknown,65,-71,PhoneKeo,64:2c:ac:d3:a3:48,-84,2462,102.50088580718185,18.157944213374783
Mee,98:1a:35:83:a0:7c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,35:38.1,40:55.2,Infrastructure,Unknown,80,-64,Mee,98:1a:35:83:a0:7c,-78,5745,102.50089156313211,18.1568043701444
Mee,98:1a:35:83:a0:78,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,35:38.1,41:00.9,Infrastructure,Unknown,80,-65,Mee,98:1a:35:83:a0:78,-74,2422,102.50088903349824,18.156980637545605
LANTHONG,b8:85:7b:8b:63:4c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,11,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,35:38.1,41:13.0,Infrastructure,Unknown,81,-62,LANTHONG,b8:85:7b:8b:63:4c,-84,2462,102.50127087198146,18.15407610334648
LATDAVY,b4:04:21:87:b2:64,zte corporation,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",35:38.1,41:07.5,Infrastructure,Unknown,78,-66,LATDAVY,b4:04:21:87:b2:64,-78,2437,102.5010453841452,18.155273076801077
Phetmany03,5c:e8:83:8d:e8:70,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,4,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,35:38.1,41:00.9,Infrastructure,Unknown,46,-77,Phetmany03,5c:e8:83:8d:e8:70,-82,2427,102.50089156313211,18.1568043701444
Naxaythong_2floor,58:d9:d5:07:b1:51,"Tenda Technology Co.,Ltd.Dongguan branch",0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",35:38.1,41:09.9,Infrastructure,Unknown,53,-75,Naxaythong_2floor,58:d9:d5:07:b1:51,-81,2412,102.5010453841452,18.155273076801077
V_phone,e8:f6:54:8a:fe:fc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,3,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,35:40.4,41:03.5,Infrastructure,Unknown,22,-87,V_phone,e8:f6:54:8a:fe:fc,-86,2422,102.50104637617082,18.156069055444675
V2027,0a:5f:b8:81:ea:c3,Unknown,0,WPA2-Personal,CCMP,802.11ac,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",35:40.4,37:40.0,Infrastructure,Unknown,31,-83,V2027,0a:5f:b8:81:ea:c3,-91,2412,102.50099574575805,18.15726142256869
Souk ,98:1a:35:ca:9f:f4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,35:41.4,40:47.1,Infrastructure,Unknown,78,-66,Souk ,98:1a:35:ca:9f:f4,-81,2437,102.5008814689603,18.157769792371997
Phout,a2:b0:c9:1a:41:6a,Unknown,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11,18,24,36,54","6,9,12,48",35:41.4,37:43.0,Infrastructure,Unknown,46,-77,Phout,a2:b0:c9:1a:41:6a,-86,2437,102.50099475462262,18.158022053597744
PhoneKeo,64:2c:ac:d3:a3:4d,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,35:44.5,40:47.1,Infrastructure,Unknown,31,-83,PhoneKeo,64:2c:ac:d3:a3:4d,-87,5180,102.50088027707405,18.157945367582165
HUAWEI-5G-jY5D,64:2c:ac:d3:a3:4c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,35:44.5,40:47.1,Infrastructure,Unknown,31,-83,HUAWEI-5G-jY5D,64:2c:ac:d3:a3:4c,-88,5180,102.50088027707405,18.157945367582165
OPPO A18,de:79:c8:81:83:14,Unknown,0,WPA2-Personal,CCMP,802.11ac,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",35:47.5,37:58.1,Infrastructure,Unknown,50,-76,OPPO A18,de:79:c8:81:83:14,-82,2412,102.50099900238617,18.15849706412284
HOUNGHEUANG,b8:d6:f6:35:ad:04,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,35:54.5,38:10.5,Infrastructure,Unknown,35,-81,HOUNGHEUANG,b8:d6:f6:35:ad:04,-92,5745,102.50099348889238,18.15869905987738
HOUNGHEUANG,b8:d6:f6:35:ad:00,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,35:57.9,38:16.6,Infrastructure,Unknown,50,-76,HOUNGHEUANG,b8:d6:f6:35:ad:00,-84,2422,102.50097205155048,18.15876016530505
AndroidAP_3774,02:08:22:92:bd:fb,Unknown,0,WPA2-Personal,CCMP,802.11n,44,0,0,"6,9,12,18,24,36,48,54",,37:05.4,39:09.7,Infrastructure,Unknown,14,-91,AndroidAP_3774,02:08:22:92:bd:fb,-94,5220,102.50088510653988,18.15793633327725
HUAWEI nova3 Toon,98:1a:35:ca:90:c0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,38:21.6,41:23.7,Infrastructure,Unknown,65,-71,HUAWEI nova3 Toon,98:1a:35:ca:90:c0,-76,2422,102.50127087198146,18.15407610334648
