SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
The Dog House Cafe,6c:14:6e:73:07:28,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:44.038,Infrastructure,Unknown,67,-70,The Dog House Cafe,6c:14:6e:73:07:28,-72,5745,102.6269856460078,17.940192927130802
KhounthavyKM1,10:7c:61:30:d8:aa,Unknown,0,WPA2-Personal,CCMP,802.11ax,10,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:23:55.556,2024-11-07 03:55:48.293,Infrastructure,Unknown,89,-48,KhounthavyKM1,10:7c:61:30:d8:aa,-77,2457,102.62690613839362,17.939712491518883
KhounthavyKM1,04:42:1a:46:be:18,ASUSTek COMPUTER INC.,0,WPA2-Personal,CCMP,802.11ax,10,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:23:55.556,2024-11-07 03:55:48.293,Infrastructure,Unknown,87,-51,KhounthavyKM1,04:42:1a:46:be:18,-71,2457,102.62680651088174,17.939552064753414
KhounthavyKM1,e8:9c:25:55:9f:1a,Unknown,0,WPA2-Personal,CCMP,802.11ax,10,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:23:55.556,2024-11-07 03:55:48.293,Infrastructure,Unknown,86,-53,KhounthavyKM1,e8:9c:25:55:9f:1a,-67,2457,102.62680651088174,17.939552064753414
hongsa,b4:04:21:86:f4:08,zte corporation,0,WPA2-Personal,CCMP,802.11n,9,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:23:55.556,2024-11-07 03:54:51.327,Infrastructure,Unknown,80,-64,hongsa,b4:04:21:86:f4:08,-76,2452,102.62680651088174,17.939552064753414
OPPO A77s,92:53:aa:d7:15:7c,Unknown,0,WPA2-Personal,CCMP,802.11ac,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:23:55.556,2024-11-07 03:54:51.327,Infrastructure,Unknown,80,-65,OPPO A77s,92:53:aa:d7:15:7c,-66,2462,102.6268342840993,17.939658795677435
Ammie,14:4d:67:67:f6:74,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:23:55.556,2024-11-07 03:54:39.345,Infrastructure,Unknown,87,-52,Ammie,14:4d:67:67:f6:74,-59,2412,102.62695756151128,17.939900821852962
Meeting Room,a4:39:b3:01:2c:cd,"Beijing Xiaomi Mobile Software Co., Ltd",0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:57.143,Infrastructure,Unknown,40,-79,Meeting Room,a4:39:b3:01:2c:cd,-76,5180,102.6269856460078,17.940192927130802
Meeting Room,a4:39:b3:01:2c:ce,"Beijing Xiaomi Mobile Software Co., Ltd",0,WPA2-Personal,CCMP,802.11ax,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:23:55.556,2024-11-07 03:54:15.260,Infrastructure,Unknown,57,-74,Meeting Room,a4:39:b3:01:2c:ce,-85,2462,102.6269856460078,17.940192927130802
LTC Tha-EXT,a0:3e:8c:d5:fc:f8,Unknown,0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:23:55.556,2024-11-07 03:55:57.143,Infrastructure,Unknown,96,-36,LTC Tha-EXT,a0:3e:8c:d5:fc:f8,-50,2422,102.62622056267516,17.939321659984174
TOTha5,80:3f:5d:65:1b:b0,Winstars Technology Ltd,0,WPA2-Personal,CCMP,802.11ac,48,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:57.143,Infrastructure,Unknown,93,-41,TOTha5,80:3f:5d:65:1b:b0,-46,5240,102.62624852996126,17.93934354963481
JiJi,b0:4e:26:b3:3b:d4,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11ac,44,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:14.221,Infrastructure,Unknown,75,-67,JiJi,b0:4e:26:b3:3b:d4,-63,5220,102.62671313448789,17.939521207562944
LNNP,b0:a7:b9:9e:05:62,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ac,44,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:54:40.947,Infrastructure,Unknown,43,-78,LNNP,b0:a7:b9:9e:05:62,-73,5220,102.62671313448789,17.939521207562944
KhounthavyKM2_5G,04:42:1a:46:be:1c,ASUSTek COMPUTER INC.,0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:44.038,Infrastructure,Unknown,85,-55,KhounthavyKM2_5G,04:42:1a:46:be:1c,-75,5180,102.62671313448789,17.939521207562944
KhounthavyKM2_5G,10:7c:61:30:d8:ad,Unknown,0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:44.038,Infrastructure,Unknown,82,-61,KhounthavyKM2_5G,10:7c:61:30:d8:ad,-72,5180,102.62690613839362,17.939712491518883
KhounthavyKM2_5G,e8:9c:25:55:9f:1d,Unknown,0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:44.038,Infrastructure,Unknown,85,-56,KhounthavyKM2_5G,e8:9c:25:55:9f:1d,-73,5180,102.62690613839362,17.939712491518883
ceit_Ext_5G,b4:b0:24:3b:b1:16,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:57.143,Infrastructure,Unknown,84,-57,ceit_Ext_5G,b4:b0:24:3b:b1:16,-57,5180,102.62622065086546,17.939361684585972
LTC Tha,e8:f6:54:bd:70:d9,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:57.143,Infrastructure,Unknown,62,-72,LTC Tha,e8:f6:54:bd:70:d9,-75,5180,102.62620126005334,17.939286122059155
LTC Tha,e8:f6:54:bd:70:d4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,3,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:57.143,Infrastructure,Unknown,85,-55,LTC Tha,e8:f6:54:bd:70:d4,-55,2422,102.62620946442756,17.939368681234917
huawei y9,30:a1:fa:58:22:c5,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:27:19.806,Infrastructure,Unknown,72,-68,huawei y9,30:a1:fa:58:22:c5,-64,2462,102.62632266399346,17.939033431005683
NOU,b0:8b:92:76:4f:ae,zte corporation,0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:23:55.556,2024-11-07 03:55:57.143,Infrastructure,Unknown,95,-37,NOU,b0:8b:92:76:4f:ae,-52,2447,102.6267868230626,17.93964405143086
Bobby,3e:7f:90:50:84:9d,Unknown,0,WPA2-Personal,CCMP,802.11ac,6,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:23:55.556,2024-11-07 03:55:48.293,Infrastructure,Unknown,87,-52,Bobby,3e:7f:90:50:84:9d,-59,2437,102.62645215242512,17.93957829168536
TOTOLINK_N600R,f4:28:53:ca:22:a4,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11ac,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:23:55.556,2024-11-07 03:59:53.202,Infrastructure,Unknown,87,-52,TOTOLINK_N600R,f4:28:53:ca:22:a4,-68,2412,102.62621079367176,17.939230420384646
DIRECT-9E-EPSON-654C0D,e2:bb:9e:65:cc:0d,Unknown,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:57.143,Infrastructure,Unknown,70,-69,DIRECT-9E-EPSON-654C0D,e2:bb:9e:65:cc:0d,-75,2412,102.62622058673908,17.939220407771113
TOTha,78:44:76:98:44:88,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:23:55.556,2024-11-07 03:59:53.202,Infrastructure,Unknown,89,-48,TOTha,78:44:76:98:44:88,-55,2412,102.62622058673908,17.939220407771113
CEIT-Staff_Ext,b4:b0:24:3b:b1:17,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:23:55.556,2024-11-07 03:59:53.202,Infrastructure,Unknown,91,-45,CEIT-Staff_Ext,b4:b0:24:3b:b1:17,-53,2412,102.62641297054942,17.939477425019863
TOTha2,80:3f:5d:65:1b:af,Winstars Technology Ltd,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:23:55.556,2024-11-07 03:55:57.143,Infrastructure,Unknown,91,-44,TOTha2,80:3f:5d:65:1b:af,-45,2412,102.62622065086546,17.939361684585972
1ed73896,f4:91:1e:d7:38:96,ZHUHAI EWPE INFORMATION TECHNOLOGY INC,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:23:55.556,2024-11-07 03:55:41.131,Infrastructure,Unknown,87,-52,1ed73896,f4:91:1e:d7:38:96,-69,2412,102.62633720612388,17.939469556091183
Maatic,14:46:58:e6:a4:a0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:24:00.295,2024-11-07 03:55:21.806,Infrastructure,Unknown,62,-72,Maatic,14:46:58:e6:a4:a0,-79,5745,102.62671313448789,17.939521207562944
Maatic,14:46:58:e6:a4:9c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:24:06.355,2024-11-07 03:54:29.867,Infrastructure,Unknown,80,-64,Maatic,14:46:58:e6:a4:9c,-79,2412,102.62680651088174,17.939552064753414
Maatic 1,14:46:58:e7:15:20,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:24:06.355,2024-11-07 03:55:08.957,Infrastructure,Unknown,40,-79,Maatic 1,14:46:58:e7:15:20,-76,5180,102.62680651088174,17.939552064753414
LNNP,b0:a7:b9:9e:05:63,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,4,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:24:09.250,2024-11-07 03:54:59.627,Infrastructure,Unknown,72,-68,LNNP,b0:a7:b9:9e:05:63,-79,2427,102.62690613839362,17.939712491518883
CEIT-Staff,c8:66:5d:37:89:24,"Extreme Networks, Inc.",0,WPA2-Personal,CCMP,802.11ac,161,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:24:17.468,2024-11-07 03:55:57.143,Infrastructure,Unknown,24,-86,CEIT-Staff,c8:66:5d:37:89:24,-83,5805,102.62620946442756,17.939368681234917
staffconference5ghz_2,98:da:c4:7e:d9:d8,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:24:17.468,2024-11-07 03:27:57.823,Infrastructure,Unknown,33,-82,staffconference5ghz_2,98:da:c4:7e:d9:d8,-71,5785,102.62630045890268,17.939232034946006
staffconference5ghz_1,98:da:c4:7e:d9:d7,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:24:20.099,2024-11-07 04:00:13.116,Infrastructure,Unknown,83,-59,staffconference5ghz_1,98:da:c4:7e:d9:d7,-70,5180,102.62630045890268,17.939232034946006
