SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC),name,network_id,signal,frequency,longitude,latitude
Boutsady,b4:04:21:87:1b:9e,zte corporation,46,75,-77,-67,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,Boutsady,b4:04:21:87:1b:9e,-56,2442,102.6222111555904,17.99202089726613
Mittaphap,28:41:c6:8c:d0:08,"HUAWEI TECHNOLOGIES CO.,LTD",60,82,-73,-60,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,Mittaphap,28:41:c6:8c:d0:08,-61,2412,102.62343515538322,17.98848814789527
sanasinof,14:4d:67:54:b9:30,Zioncom Electronics (Shenzhen) Ltd.,46,53,-77,-75,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,sanasinof,14:4d:67:54:b9:30,-62,2412,102.62366029240552,17.989070492779387
Tenda_84AD40,08:40:f3:84:ad:41,"Tenda Technology Co.,Ltd.Dongguan branch",31,31,-83,-83,Open,,802.11n,8,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,Tenda_84AD40,08:40:f3:84:ad:41,-69,2447,102.62392247401016,17.990532930824404
UNITEL_2RFEHD_5G,58:d3:12:e3:3f:08,Unknown,18,65,-89,-71,WPA2-Personal,CCMP,802.11ac,52,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,UNITEL_2RFEHD_5G,58:d3:12:e3:3f:08,-63,5260,102.62366196202709,17.989165442017306
Shinjuku-POS,50:0f:f5:16:01:7c,"Tenda Technology Co.,Ltd.Dongguan branch",26,53,-85,-75,WPA2-Personal,CCMP,802.11ac,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,Shinjuku-POS,50:0f:f5:16:01:7c,-68,5200,102.6239348533138,17.99091730864185
Vanxay,14:46:58:e7:48:94,"HUAWEI TECHNOLOGIES CO.,LTD",43,60,-78,-73,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,Vanxay,14:46:58:e7:48:94,-73,5745,102.62341392578374,17.988687548911066
Vanxay,14:46:58:e7:48:90,"HUAWEI TECHNOLOGIES CO.,LTD",33,65,-82,-71,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,Vanxay,14:46:58:e7:48:90,-59,2452,102.62336715868324,17.988382180061475
TA,60:53:75:5d:7e:b8,"HUAWEI TECHNOLOGIES CO.,LTD",43,84,-78,-57,WPA2-Personal,CCMP,802.11ac,5,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,TA,60:53:75:5d:7e:b8,-55,2432,102.62383927525966,17.989585833522078
TA,60:53:75:5d:7e:bd,"HUAWEI TECHNOLOGIES CO.,LTD",40,81,-79,-63,WPA2-Personal,CCMP,802.11ax,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,05:05:03.499,TA,60:53:75:5d:7e:bd,-64,5180,102.62379788921989,17.98947827277694
